id,latitude,longitude,neighbourhood_cleansed,accommodates,bedrooms,beds,bathrooms,review_scores_rating,number_of_reviews,host_listings_count,amenities_count,host_tenure_days,has_picture,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,occupancy_rate_mean,target_price
918851329209115573,42.351110332172645,-71.06699304116705,Downtown,2,1.0,1.0,1.0,4.5,113,59.0,41,2294.0,1,True,False,False,False,0.6356164383561644,303.0
918904984983903999,42.28846,-71.0393,Dorchester,10,5.0,6.0,6.0,4.83,58,5.0,50,2356.0,1,True,False,False,False,0.08493150684931507,624.0
920272636633662094,42.3204372,-71.05602139999999,Dorchester,12,4.0,8.0,2.0,4.9,29,18.0,42,2159.0,1,True,False,False,False,0.07671232876712329,420.0
920305401888076042,42.350926725987584,-71.06553080926739,Downtown,4,1.0,,,4.49,109,25.0,30,2612.0,1,True,False,False,False,0.07945205479452055,
921849596380643625,42.32193,-71.08004,Roxbury,1,1.0,1.0,1.0,4.62,34,10.0,29,2723.0,1,False,False,True,False,0.0821917808219178,66.0
922408906158692278,42.34988,-71.04433,South Boston Waterfront,3,1.0,1.0,1.0,5.0,1,184.0,36,4069.0,1,True,False,False,False,0.1178082191780822,239.0
923065544622564210,42.32125,-71.07801,Roxbury,2,1.0,1.0,1.0,4.61,33,10.0,29,2723.0,1,False,False,True,False,0.26301369863013696,78.0
924145100321265636,42.3472763,-71.1514285,Brighton,3,1.0,3.0,1.0,4.74,23,1.0,45,3320.0,1,True,False,False,False,0.8712328767123287,173.0
924596250686285360,42.32184601281022,-71.07909028242294,Roxbury,2,1.0,1.0,1.0,4.68,34,10.0,30,2723.0,1,False,False,True,False,0.08493150684931507,88.0
925488947884632143,42.34864,-71.10181,Fenway,5,2.0,,,5.0,1,33.0,39,868.0,1,True,False,False,False,0.0136986301369863,
926773430102953513,42.34936257322835,-71.08028036449343,Back Bay,5,2.0,3.0,2.0,,0,33.0,41,868.0,1,True,False,False,False,0.0027397260273972603,839.0
926794947878391247,42.34965319283231,-71.07855747136733,Back Bay,5,2.0,3.0,2.0,,0,33.0,41,868.0,1,True,False,False,False,0.0027397260273972603,839.0
926892327133743093,42.34813705133536,-71.10059262555816,Fenway,4,2.0,,,,0,33.0,42,868.0,1,True,False,False,False,0.9452054794520548,
926897775916500527,42.34983,-71.09379,Fenway,4,1.0,3.0,1.0,4.9,10,9.0,27,844.0,1,True,False,False,False,0.07945205479452055,357.0
926907258543518131,42.34614,-71.10188,Fenway,5,2.0,,,3.0,1,33.0,42,868.0,1,True,False,False,False,0.019178082191780823,
926908682139595078,42.34983,-71.09379,Fenway,4,0.0,2.0,1.0,4.77,22,9.0,22,844.0,1,True,False,False,False,0.10136986301369863,255.0
926908733694275846,42.34983,-71.09379,Fenway,4,0.0,2.0,1.0,4.8,35,9.0,23,844.0,1,True,False,False,False,0.2136986301369863,230.0
926908978002734152,42.34983,-71.09379,Fenway,4,0.0,2.0,1.0,4.95,37,9.0,27,844.0,1,True,False,False,False,0.09041095890410959,287.0
926909131529554170,42.34983,-71.09379,Fenway,4,0.0,2.0,1.0,4.76,25,9.0,27,844.0,1,True,False,False,False,0.09315068493150686,291.0
926909279527360867,42.34983,-71.09379,Fenway,4,0.0,2.0,1.0,4.77,22,9.0,27,844.0,1,True,False,False,False,0.10410958904109589,265.0
926909419134753198,42.34983,-71.09379,Fenway,4,1.0,2.0,1.0,4.77,22,9.0,27,844.0,1,True,False,False,False,0.08493150684931507,287.0
926909705378933833,42.34983,-71.09379,Fenway,4,0.0,2.0,1.0,4.84,43,9.0,27,844.0,1,True,False,False,False,0.0958904109589041,265.0
926910164877355346,42.34983,-71.09379,Fenway,4,0.0,2.0,1.0,4.9,42,9.0,27,844.0,1,True,False,False,False,0.1095890410958904,265.0
926912107799593105,42.32835666617422,-71.11241572742077,Jamaica Plain,6,2.0,5.0,2.0,,0,33.0,42,868.0,1,True,False,False,False,0.0,839.0
926917068731579220,42.32842,-71.11211,Jamaica Plain,5,2.0,,,4.0,4,33.0,42,868.0,1,True,False,False,False,0.0027397260273972603,
926950431047851357,42.34916723063684,-71.13388875543235,Allston,4,2.0,2.0,1.0,4.75,4,2.0,39,3820.0,1,True,False,False,False,0.23835616438356164,223.0
927475749600177156,42.34818,-71.09326,Fenway,2,1.0,1.0,1.0,,0,59.0,39,2294.0,1,True,False,False,False,0.6986301369863014,330.0
927504954586144067,42.34751,-71.09374,Fenway,2,1.0,1.0,1.0,4.8,5,59.0,36,2294.0,1,True,False,False,False,0.4246575342465753,154.0
927569054825260292,42.34327,-71.08405,Back Bay,2,0.0,1.0,1.0,4.48,27,52.0,31,843.0,1,True,False,False,False,0.4,170.0
927751278413604000,42.35706021337518,-71.12911636763924,Allston,1,1.0,1.0,1.0,5.0,2,9.0,40,3769.0,1,False,False,True,False,0.27123287671232876,57.0
928349287890222434,42.29902921546571,-71.06776620274428,Dorchester,4,3.0,3.0,1.0,4.67,3,1.0,40,842.0,1,True,False,False,False,0.26301369863013696,299.0
929274223001610653,42.34167,-71.08246,South End,2,0.0,1.0,1.0,4.52,31,52.0,30,843.0,1,True,False,False,False,0.37534246575342467,188.0
929285770816969080,42.34149086490141,-71.08211337458772,South End,2,0.0,1.0,1.0,4.55,29,52.0,29,843.0,1,True,False,False,False,0.38082191780821917,190.0
